Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
UHU36990.1,Severe acute respiratory syndrome coronavirus 2,2021-12-30T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-12-08
UHU37025.1,Severe acute respiratory syndrome coronavirus 2,2021-12-30T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-12-08
UHU62157.1,Severe acute respiratory syndrome coronavirus 2,2021-12-30T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-12-08
UGV92318.1,Severe acute respiratory syndrome coronavirus 2,2021-12-14T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-12-01
UFT55504.1,Severe acute respiratory syndrome coronavirus 2,2021-12-06T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-11-27
UFS48210.1,Severe acute respiratory syndrome coronavirus 2,2021-12-05T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-11-22
UEA14875.1,Severe acute respiratory syndrome coronavirus 2,2021-11-03T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-10-30
UAU32120.1,Severe acute respiratory syndrome coronavirus 2,2021-09-16T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-09-06
QYU37221.1,Severe acute respiratory syndrome coronavirus 2,2021-08-12T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-27
QYE53659.1,Severe acute respiratory syndrome coronavirus 2,2021-08-02T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-23
