Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
UHU36982.1,Severe acute respiratory syndrome coronavirus 2,2021-12-30T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-12-08
UHU37135.1,Severe acute respiratory syndrome coronavirus 2,2021-12-30T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-12-08
UGV90304.1,Severe acute respiratory syndrome coronavirus 2,2021-12-14T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-12-01
UFT55496.1,Severe acute respiratory syndrome coronavirus 2,2021-12-06T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-11-27
UFS47090.1,Severe acute respiratory syndrome coronavirus 2,2021-12-05T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,oronasopharynx,2021-11-27
UAU32112.1,Severe acute respiratory syndrome coronavirus 2,2021-09-16T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-09-06
QYU37213.1,Severe acute respiratory syndrome coronavirus 2,2021-08-12T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-07-27
USX88687.1,Severe acute respiratory syndrome coronavirus 2,2022-07-04T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bangladesh,Homo sapiens,oronasopharynx,2021-07-07
USX88711.1,Severe acute respiratory syndrome coronavirus 2,2022-07-04T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bangladesh,Homo sapiens,oronasopharynx,2021-07-14
USX88723.1,Severe acute respiratory syndrome coronavirus 2,2022-07-04T00:00:00Z,B.1.617.2,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bangladesh,Homo sapiens,oronasopharynx,2021-07-13
