Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
QXN65588.1,Severe acute respiratory syndrome coronavirus 2,2021-07-14T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bangladesh: Dhaka,Homo sapiens,,2021-03-08
UJO50664.1,Severe acute respiratory syndrome coronavirus 2,2022-01-24T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Canada,Homo sapiens,,2021-04-26
QZP75647.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-03-31
QZP75659.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-02
QZP75671.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-03
QZP75683.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-05
QZP75731.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-10
QZP75863.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-08
QZP75875.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-10
QZP75958.1,Severe acute respiratory syndrome coronavirus 2,2021-08-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Djibouti,Homo sapiens,,2021-04-03
