Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
QTT38496.1,Severe acute respiratory syndrome coronavirus 2,2021-04-13T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-03-30
QST76482.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-17
QST76518.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-19
QST76554.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-19
QST76614.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-25
UFA52114.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Bad Ischl,Homo sapiens,oronasopharynx,2021-03-27
UFA52209.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Bad Ischl,Homo sapiens,oronasopharynx,2021-04-13
UFA39769.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Gmunden,Homo sapiens,oronasopharynx,2021-05-15
UFA59593.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Gmunden,Homo sapiens,oronasopharynx,2021-03-20
UFA39556.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Kirchham bei Vorchdorf,Homo sapiens,oronasopharynx,2021-05-15
UFA39781.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Kirchham bei Vorchdorf,Homo sapiens,oronasopharynx,2021-05-15
UFA39865.1,Severe acute respiratory syndrome coronavirus 2,2021-11-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Austria: Upper Austria / Gmunden / Kirchham bei Vorchdorf,Homo sapiens,oronasopharynx,2021-05-13
QZK38375.1,Severe acute respiratory syndrome coronavirus 2,2021-08-26T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-08-16
QYU37726.1,Severe acute respiratory syndrome coronavirus 2,2021-08-12T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-28
QXX47842.1,Severe acute respiratory syndrome coronavirus 2,2021-07-26T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-02
QXP17551.1,Severe acute respiratory syndrome coronavirus 2,2021-07-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-05
QXP17574.1,Severe acute respiratory syndrome coronavirus 2,2021-07-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-05
QXP17586.1,Severe acute respiratory syndrome coronavirus 2,2021-07-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-07-05
QXI80085.1,Severe acute respiratory syndrome coronavirus 2,2021-07-07T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-05-06
QXI80097.1,Severe acute respiratory syndrome coronavirus 2,2021-07-07T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-05-12
QXI80109.1,Severe acute respiratory syndrome coronavirus 2,2021-07-07T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-05-12
QXI80121.1,Severe acute respiratory syndrome coronavirus 2,2021-07-07T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-05-12
QXI80133.1,Severe acute respiratory syndrome coronavirus 2,2021-07-07T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-05-13
QXG22583.1,Severe acute respiratory syndrome coronavirus 2,2021-07-04T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bahrain,Homo sapiens,,2021-05-20
QTD30401.1,Severe acute respiratory syndrome coronavirus 2,2021-04-20T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bangladesh,Homo sapiens,oronasopharynx,2021-02-23
QRV13359.1,Severe acute respiratory syndrome coronavirus 2,2021-02-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bangladesh,Homo sapiens,,2021-01-31
QQX99447.1,Severe acute respiratory syndrome coronavirus 2,2021-01-27T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bangladesh,Homo sapiens,oronasopharynx,2021-01-06
QWU49148.1,Severe acute respiratory syndrome coronavirus 2,2021-07-01T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Bangladesh: Cox's bazar,Homo sapiens,oronasopharynx,2021-04-22
