Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
UBF23542.1,Severe acute respiratory syndrome coronavirus 2,2022-12-07T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-02-22
URA47577.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-14
URA47589.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-05
URA47601.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-11
URA47625.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-13
URA47661.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-08
URA47697.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-12
URA47709.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-05
URA47733.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-06
URA47745.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-12
URA52597.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-04
URA52621.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-11
URA52633.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-11
URA52681.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-11
URA52693.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-03
URA52717.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-08
URA52774.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-05
URA52786.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-10
URA52798.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-10
URA52858.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-05-10
URA57368.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-07
URA57380.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-11
URA57392.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-13
URA57404.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-09
URA57416.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-11
URA57428.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-11
URA57440.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-13
URA57464.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-05
URA57500.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-11
URA57512.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-08-09
URA71163.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-07-13
URA71175.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Brazil,Homo sapiens,,2021-07-14
