Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
WDB12209.1,Severe acute respiratory syndrome coronavirus 2,2023-02-15T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Pakistan: Karachi,Homo sapiens,oronasopharynx,2021-06-24
UYO70677.1,Severe acute respiratory syndrome coronavirus 2,2022-10-24T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Kenya,Homo sapiens,,2021-06-21
USV34439.1,Severe acute respiratory syndrome coronavirus 2,2022-07-01T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Thailand: Narathiwat,Homo sapiens,,2021-05-25
UQT23171.1,Severe acute respiratory syndrome coronavirus 2,2022-05-17T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Finland,Homo sapiens,,2021-01-07
UQC64663.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-02-23
UPI39086.1,Severe acute respiratory syndrome coronavirus 2,2022-04-22T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa,Homo sapiens,,2020-11-30
UPI39098.1,Severe acute respiratory syndrome coronavirus 2,2022-04-22T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa,Homo sapiens,,2020-12-25
UPI39146.1,Severe acute respiratory syndrome coronavirus 2,2022-04-22T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,South Africa,Homo sapiens,,2021-01-13
UPI39894.1,Severe acute respiratory syndrome coronavirus 2,2022-04-22T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa,Homo sapiens,,2020-12-07
UPI39954.1,Severe acute respiratory syndrome coronavirus 2,2022-04-22T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa,Homo sapiens,,2021-02-01
UPI39966.1,Severe acute respiratory syndrome coronavirus 2,2022-04-22T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa,Homo sapiens,,2021-03-17
UPD30382.1,Severe acute respiratory syndrome coronavirus 2,2022-04-20T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa,Homo sapiens,,2021-06-11
UPC36764.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-04-02
UPC38045.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-03-30
UPC39250.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-03-26
UPC39633.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-04-19
UPC39752.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-04-18
UPC40251.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-05-03
UPC61728.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,France,Homo sapiens,,2021-01-25
UNZ13227.1,Severe acute respiratory syndrome coronavirus 2,2022-03-31T00:00:00Z,B.1.351,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,South Africa: Western Cape,Homo sapiens,,2021-05-17
