Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
WDB03694.1,Severe acute respiratory syndrome coronavirus 2,2023-02-15T00:00:00Z,BQ.1,4.2/1.18.1.1/v0.1.10/0.3.17,1268,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-11-29
WDB04369.1,Severe acute respiratory syndrome coronavirus 2,2023-02-15T00:00:00Z,CH.1.1,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-12-18
WDB05483.1,Severe acute respiratory syndrome coronavirus 2,2023-02-15T00:00:00Z,BF.7,4.2/1.18.1.1/v0.1.10/0.3.17,1268,complete,surface glycoprotein,Bahrain,Homo sapiens,,2023-01-01
WDB09874.1,Severe acute respiratory syndrome coronavirus 2,2023-02-15T00:00:00Z,BQ.1,4.2/1.18.1.1/v0.1.10/0.3.17,1268,complete,surface glycoprotein,Bahrain,Homo sapiens,,2023-01-29
UZU90993.1,Severe acute respiratory syndrome coronavirus 2,2022-11-24T00:00:00Z,BQ.1,4.2/1.18.1.1/v0.1.10/0.3.17,1267,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-26
UZU91975.1,Severe acute respiratory syndrome coronavirus 2,2022-11-24T00:00:00Z,BQ.1,4.2/1.18.1.1/v0.1.10/0.3.17,1267,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-11-06
UZU92431.1,Severe acute respiratory syndrome coronavirus 2,2022-11-24T00:00:00Z,BF.7,4.2/1.18.1.1/v0.1.10/0.3.17,1268,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-11-07
UZU92524.1,Severe acute respiratory syndrome coronavirus 2,2022-11-24T00:00:00Z,BQ.1,4.2/1.18.1.1/v0.1.10/0.3.17,1267,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-11-09
UYR39716.1,Severe acute respiratory syndrome coronavirus 2,2022-10-27T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-16
UYR39976.1,Severe acute respiratory syndrome coronavirus 2,2022-10-27T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-16
UYR40012.1,Severe acute respiratory syndrome coronavirus 2,2022-10-27T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-16
UYR40024.1,Severe acute respiratory syndrome coronavirus 2,2022-10-27T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-16
UYR40329.1,Severe acute respiratory syndrome coronavirus 2,2022-10-27T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-16
UYR76496.1,Severe acute respiratory syndrome coronavirus 2,2022-10-27T00:00:00Z,XBB,4.2/1.18.1.1/v0.1.10/0.3.17,1269,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-10-24
UXW68809.1,Severe acute respiratory syndrome coronavirus 2,2022-10-05T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-09-29
UXW69057.1,Severe acute respiratory syndrome coronavirus 2,2022-10-05T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-09-29
UXW69080.1,Severe acute respiratory syndrome coronavirus 2,2022-10-05T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-09-30
UWE21679.1,Severe acute respiratory syndrome coronavirus 2,2022-09-06T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,oronasopharynx,2022-08-31
UWE22299.1,Severe acute respiratory syndrome coronavirus 2,2022-09-06T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,oronasopharynx,2022-08-31
UVJ48842.1,Severe acute respiratory syndrome coronavirus 2,2022-08-25T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-08-22
UVJ49140.1,Severe acute respiratory syndrome coronavirus 2,2022-08-25T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-08-23
UVJ49176.1,Severe acute respiratory syndrome coronavirus 2,2022-08-25T00:00:00Z,BA.2.75,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-08-23
UPX44534.1,Severe acute respiratory syndrome coronavirus 2,2022-05-05T00:00:00Z,B.1.1.529,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-02-07
UOH86006.1,Severe acute respiratory syndrome coronavirus 2,2022-04-07T00:00:00Z,B.1.1.529,4.2/1.18.1.1/v0.1.10/0.3.17,1268,complete,surface glycoprotein,Bahrain,Homo sapiens,,2022-01-25
UZH66932.1,Severe acute respiratory syndrome coronavirus 2,2022-11-10T00:00:00Z,BQ.1,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,China,Homo sapiens,,2022-10-27
