Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
QTT38488.1,Severe acute respiratory syndrome coronavirus 2,2021-04-13T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-03-30
QST76474.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-17
QST76510.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-19
QST76546.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-19
QST76606.1,Severe acute respiratory syndrome coronavirus 2,2021-03-10T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Austria: Upper Austria,Homo sapiens,oronasopharynx,2021-02-25
QTT38200.1,Severe acute respiratory syndrome coronavirus 2,2021-04-13T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,"Austria: Upper Austria, Regau",Homo sapiens,oronasopharynx,2021-03-19
QTT38428.1,Severe acute respiratory syndrome coronavirus 2,2021-04-13T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,"Austria: Upper Austria, Regau",Homo sapiens,oronasopharynx,2021-03-28
QTT38008.1,Severe acute respiratory syndrome coronavirus 2,2021-04-13T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,"Austria: Upper Austria, Roitham",Homo sapiens,oronasopharynx,2021-03-05
QTT01442.1,Severe acute respiratory syndrome coronavirus 2,2021-04-12T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,"Austria: Upper Austria, Scharnstein",Homo sapiens,oronasopharynx,2021-02-26
QTT38128.1,Severe acute respiratory syndrome coronavirus 2,2021-04-13T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,"Austria: Upper Austria, Schwanenstadt",Homo sapiens,oronasopharynx,2021-03-15
QXX47834.1,Severe acute respiratory syndrome coronavirus 2,2021-07-26T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-07-02
QXP17543.1,Severe acute respiratory syndrome coronavirus 2,2021-07-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-07-05
QXP17566.1,Severe acute respiratory syndrome coronavirus 2,2021-07-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-07-05
QXP17578.1,Severe acute respiratory syndrome coronavirus 2,2021-07-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-07-05
QXI80077.1,Severe acute respiratory syndrome coronavirus 2,2021-07-07T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-05-06
QTY73227.1,Severe acute respiratory syndrome coronavirus 2,2021-04-20T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-04-07
QTY73470.1,Severe acute respiratory syndrome coronavirus 2,2021-04-20T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-04-08
QTX93687.1,Severe acute respiratory syndrome coronavirus 2,2021-04-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-03-21
QTX93699.1,Severe acute respiratory syndrome coronavirus 2,2021-04-19T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bahrain,Homo sapiens,,2021-03-21
QRV13351.1,Severe acute respiratory syndrome coronavirus 2,2021-02-18T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bangladesh,Homo sapiens,,2021-01-31
QQX99439.1,Severe acute respiratory syndrome coronavirus 2,2021-01-27T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bangladesh,Homo sapiens,oronasopharynx,2021-01-06
QWU49140.1,Severe acute respiratory syndrome coronavirus 2,2021-07-01T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1273,complete,surface glycoprotein,Bangladesh: Cox's bazar,Homo sapiens,oronasopharynx,2021-04-22
QWU48890.1,Severe acute respiratory syndrome coronavirus 2,2021-07-01T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1271,complete,surface glycoprotein,Bangladesh: Dhaka,Homo sapiens,oronasopharynx,2021-03-16
QWU48914.1,Severe acute respiratory syndrome coronavirus 2,2021-07-01T00:00:00Z,B.1.1.7,4.2/1.18.1.1/v0.1.10/0.3.17,1270,complete,surface glycoprotein,Bangladesh: Dhaka,Homo sapiens,oronasopharynx,2021-02-04
