Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
UBF23550.1,Severe acute respiratory syndrome coronavirus 2,2022-12-07T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-02-22
URA47585.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-14
URA47597.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-05
URA47609.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-11
URA47633.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-13
URA47669.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-08
URA62414.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-07
URA62426.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-07
URA62438.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-08
URA62450.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-07
URA62462.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-15
URA63193.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-01
URA63217.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-02
URA63229.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-02
URA63241.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-02
URA63253.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-02
URA63289.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-15
URA74908.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-08
URA74956.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-15
URA74968.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-01
URA75100.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-06
URA75124.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-11
URA86212.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-02
